  -0.000	  -0.013	  -0.000	  -0.023	   0.004	  -0.003	   0.006	   0.004	   0.084	   0.070	   0.075	   0.098	   0.045	   0.041	   0.045	   0.044
  -0.000	  -0.037	   0.001	   0.024	   0.046	  -0.013	  -0.010	  -0.004	   0.088	   0.083	   0.078	   0.088	   0.043	   0.043	   0.042	   0.045
   0.013	  -0.025	  -0.018	   0.029	   0.018	  -0.017	  -0.013	  -0.003	   0.085	   0.078	   0.070	   0.107	   0.043	   0.044	   0.049	   0.048
   0.005	   0.033	  -0.009	  -0.007	   0.004	   0.005	  -0.016	  -0.016	   0.071	   0.085	   0.087	   0.101	   0.051	   0.046	   0.044	   0.050
  -0.002	  -0.008	   0.015	   0.009	  -0.017	   0.004	   0.043	   0.008	   0.073	   0.095	   0.070	   0.074	   0.048	   0.046	   0.047	   0.039
   0.025	   0.008	  -0.019	  -0.014	   0.022	  -0.010	  -0.002	  -0.002	   0.080	   0.083	   0.076	   0.064	   0.046	   0.044	   0.048	   0.040
  -0.017	  -0.009	  -0.017	  -0.042	   0.008	   0.002	  -0.024	  -0.006	   0.087	   0.073	   0.075	   0.082	   0.045	   0.044	   0.048	   0.035
  -0.022	   0.004	   0.025	   0.001	   0.000	   0.011	  -0.007	   0.006	   0.086	   0.086	   0.084	   0.067	   0.046	   0.039	   0.042	   0.046
   0.029	   0.014	   0.013	  -0.012	  -0.029	  -0.014	  -0.021	   0.003	   0.083	   0.075	   0.069	   0.078	   0.045	   0.038	   0.045	   0.044
   0.010	  -0.005	  -0.044	  -0.026	  -0.011	   0.003	   0.014	   0.004	   0.077	   0.081	   0.086	   0.067	   0.049	   0.045	   0.050	   0.041
   0.001	   0.024	  -0.002	  -0.022	  -0.002	   0.026	   0.015	  -0.011	   0.058	   0.082	   0.075	   0.071	   0.044	   0.052	   0.043	   0.041
  -0.002	   0.019	   0.011	  -0.010	   0.023	  -0.013	   0.036	   0.047	   0.079	   0.074	   0.095	   0.079	   0.047	   0.051	   0.034	   0.042
  -0.012	   0.016	   0.023	   0.009	  -0.034	   0.004	   0.003	  -0.008	   0.074	   0.074	   0.093	   0.067	   0.042	   0.037	   0.052	   0.048
